Factor 1.0,Factor 1.25,Factor 0.75,Rand 1,Rand 1.25,Rand 0.75,LabelRand,Fac 1.0,Fac 1.25,Fac 0.75,Label
0.743950501,0.149310579,0.83191582,0.042553757,-0.00864654,0.001436674,0.052008213,0.743950501,0.186638223,0.623936865,1.606533802
0.006778097,0.44020514,0.193871367,-0.043903813,0.00128443,-0.008505055,-0.042286219,0.006778097,0.550256425,0.145403526,0.660151829
0.011388912,0.56372059,0.762216921,-0.051179892,-0.017205029,-0.005529402,-0.050669948,0.011388912,0.704650737,0.571662691,1.237032392
0.099453853,0.329471525,0.655517627,0.037354257,-0.015981799,0.003107473,0.07519231,0.099453853,0.411839407,0.49163822,1.078123789
0.79236038,0.823298917,0.425642397,-0.09186631,-0.014748696,0.000358057,0.431605601,0.79236038,1.029123647,0.319231798,2.572321426
0.493655288,0.703349669,0.142017743,0.042548415,-0.004189833,0.003470885,0.486073408,0.493655288,0.879187086,0.106513307,1.96542909
0.829331914,0.534016299,0.531564197,-0.050466754,-0.004685238,-0.008425508,-0.188644384,0.829331914,0.667520374,0.398673148,1.706881052
0.456343377,0.821563692,0.282495198,-0.055297782,0.019790492,0.003418499,-0.166255308,0.456343377,1.026954615,0.211871399,1.528914083
0.974482948,0.4767013,0.597422721,-0.093430678,0.004482429,0.003270008,0.446231866,0.974482948,0.595876625,0.448067041,2.46465848
0.398849699,0.694723894,0.334811438,0.052652235,0.016433845,-0.002219756,0.43257357,0.398849699,0.868404868,0.251108579,1.950936715
0.381253887,0.333687939,0.876051774,0.053533948,-0.00373191,0.003310166,-0.334040922,0.381253887,0.417109924,0.657038831,1.121361719
0.467056683,0.30545078,0.941970139,0.079809043,-0.002369817,0.001036839,0.197502024,0.467056683,0.381813475,0.706477604,1.752849786
0.220919385,0.36007905,0.993129621,0.050986389,0.017335924,-0.001730087,-0.025437758,0.220919385,0.450098813,0.744847215,1.390427655
0.451456186,0.839884886,0.227470586,0.097394864,-0.017671737,-0.008910853,-0.116607079,0.451456186,1.049856108,0.17060294,1.555308154
